match_id,date,map,map_order,picked_by,team_A,team_B,team_A_rank,team_B_rank,winner
97266,2025-09-01,Mirage,3,G2,Spirit,G2,1,15,Spirit
97266,2025-09-01,Dust2,4,Spirit,Spirit,G2,1,15,G2
97266,2025-09-01,Ancient,7,decider,Spirit,G2,1,15,G2
97263,2025-08-31,Dust2,3,Liquid,Spirit,Liquid,1,27,Spirit
97263,2025-08-31,Mirage,4,Spirit,Spirit,Liquid,1,27,Spirit
97262,2025-08-30,Mirage,3,FURIA,Spirit,FURIA,1,10,FURIA
97262,2025-08-30,Nuke,4,Spirit,Spirit,FURIA,1,10,FURIA
96246,2025-08-20,Ancient,3,HEROIC,Spirit,HEROIC,1,14,Spirit
96246,2025-08-20,Nuke,4,Spirit,Spirit,HEROIC,1,14,HEROIC
96246,2025-08-20,Mirage,7,decider,Spirit,HEROIC,1,14,HEROIC
96225,2025-08-17,Nuke,3,Spirit,Spirit,The MongolZ,1,3,Spirit
96225,2025-08-17,Mirage,4,The MongolZ,Spirit,The MongolZ,1,3,Spirit
96225,2025-08-17,Ancient,5,Spirit,Spirit,The MongolZ,1,3,Spirit
96223,2025-08-16,Ancient,3,Spirit,MOUZ,Spirit,4,1,Spirit
96223,2025-08-16,Mirage,4,MOUZ,MOUZ,Spirit,4,1,Spirit
96222,2025-08-15,Ancient,3,Spirit,Spirit,Virtus.pro,1,18,Spirit
96222,2025-08-15,Overpass,4,Virtus.pro,Spirit,Virtus.pro,1,18,Spirit
94823,2025-08-09,Mirage,3,G2,G2,Spirit,15,1,Spirit
94823,2025-08-09,Ancient,4,Spirit,G2,Spirit,15,1,G2
94823,2025-08-09,Dust2,7,decider,G2,Spirit,15,1,Spirit
94811,2025-08-06,Dust2,3,Spirit,Passion UA,Spirit,32,1,Passion UA
94811,2025-08-06,Mirage,4,Passion UA,Passion UA,Spirit,32,1,Spirit
94811,2025-08-06,Ancient,7,decider,Passion UA,Spirit,32,1,Spirit
93978,2025-08-03,Mirage,3,MOUZ,MOUZ,Spirit,4,1,Spirit
93978,2025-08-03,Ancient,4,Spirit,MOUZ,Spirit,4,1,Spirit
93978,2025-08-03,Nuke,5,MOUZ,MOUZ,Spirit,4,1,Spirit
93977,2025-08-02,Mirage,3,Natus Vincere,Spirit,Natus Vincere,1,7,Spirit
93977,2025-08-02,Nuke,4,Spirit,Spirit,Natus Vincere,1,7,Natus Vincere
93977,2025-08-02,Ancient,7,decider,Spirit,Natus Vincere,1,7,Spirit
93956,2025-07-28,Dust2,3,Aurora,Aurora,Spirit,6,1,Spirit
93956,2025-07-28,Nuke,4,Spirit,Aurora,Spirit,6,1,Spirit
89097,2025-06-19,Mirage,3,MOUZ,Spirit,MOUZ,1,4,Spirit
