match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
84325,2025-03-25,Mirage,4,B8,Nemiga,B8,23,41,-18,18,1,0,0.5,0.5,0.5,0.5,1,train,train
76944,2025-03-25,Train,7,TYLOO,Rare Atom,TYLOO,9,36,-27,27,0,1,0.5,0.5,0.5,0.5,1,train,train
84325,2025-03-25,Inferno,7,B8,Nemiga,B8,23,41,-18,18,0,1,0.5,0.5,1.0,0.0,1,train,train
84325,2025-03-25,Dust2,3,B8,Nemiga,Nemiga,23,41,-18,18,0,0,0.5,0.5,1.0,0.0,0,val,train
84327,2025-03-26,Mirage,7,Spirit Academy,Aurora,Spirit Academy,51,6,45,45,0,1,0.5,0.5,0.5,0.5,1,train,train
84596,2025-03-26,Mirage,3,Nexus,Aurora,Aurora,51,6,45,45,0,0,0.5,0.0,0.5,0.0,0,train,val
84596,2025-03-26,Nuke,4,Nexus,Aurora,Nexus,51,6,45,45,1,0,0.5,0.5,0.0,0.5,1,val,val
84596,2025-03-26,Inferno,7,Nexus,Aurora,Aurora,51,6,45,45,0,1,0.5,0.5,0.5,0.3333333333333333,0,test,val
84327,2025-03-26,Train,3,Spirit Academy,Aurora,Aurora,51,6,45,45,0,0,0.5,0.5,1.0,0.5,0,train,train
84327,2025-03-26,Ancient,4,Spirit Academy,Aurora,Spirit Academy,51,6,45,45,1,0,0.5,0.5,0.5,0.6,1,train,train
82533,2025-03-28,Nuke,4,MOUZ,G2,MOUZ,4,15,-11,11,1,0,0.5,0.5,0.5,0.5,1,train,train
84602,2025-03-28,Train,7,fnatic,Aurora,Aurora,21,6,15,15,0,1,0.5,1.0,0.5,0.5,0,test,test
84602,2025-03-28,Ancient,4,fnatic,Aurora,Aurora,21,6,15,15,1,0,0.5,0.0,0.0,0.5714285714285714,0,val,test
84602,2025-03-28,Inferno,3,fnatic,Aurora,fnatic,21,6,15,15,0,0,0.5,1.0,0.0,0.625,1,train,test
82532,2025-03-28,Dust2,3,Natus Vincere,Spirit,Spirit,7,1,6,6,0,0,0.5,0.5,0.5,0.5,0,train,val
82532,2025-03-28,Anubis,4,Natus Vincere,Spirit,Spirit,7,1,6,6,1,0,0.5,0.5,0.0,1.0,0,train,val
82533,2025-03-28,Inferno,3,MOUZ,G2,MOUZ,4,15,-11,11,0,0,0.5,0.5,1.0,0.0,1,test,train
82534,2025-03-29,Nuke,4,Vitality,Spirit,Spirit,2,1,1,1,1,0,0.5,0.5,0.5,1.0,0,train,train
